,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,📊 Pivot1: Pivot_Yearly_Summary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Total_Crimes,Total _Rape_Cases,Kidnapping_And_Abduction_Of_Women_And_Girls,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Robbery,Cruelty_By_Husband_Or_His_Relatives,Total_Murders,Culpable_Homicide_Not_Amounting_To_Murder,Kidnapping_And_Abduction_Of_Others,Cheating,Hurt_Or_Grievous_Hurt,Causing_Death_By_Negligence,Ipc_Crimes,Violent Crimes,Property Crimes,YoY Change %,,,SUM of Total_Crimes,Year,,,,,,,,
,Motihari,145903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thoothugudi,145480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prakasham,144806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morena,144573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dindigul,144239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Madurai Rural,144178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Anantapur,143931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pali,143481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yavatmal,141892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Junagadh,141488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cuddapah,140372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mehsana,139261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rewa,139253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hassan,139141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pathanamthitta,138993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mandya,138314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nasik Rural,138217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gulbarga,138173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Allahabad,138162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Himatnagar,137321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tumkur,135928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jalgaon,135454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virudhunagar,135299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
